time,inertia.phi_ref,inertia.phi_sim,inertia.phi_relerr,inertia.w_ref,inertia.w_sim,inertia.w_relerr
0,0,0,0,0,0,0
0.0005,0,0,0,0,0,0
0.001,0,0,0,0,0,0
0.0015,0,0,0,0,0,0
0.002,0,0,0,0,0,0
0.0025,0,0,0,0,0,0
0.003,0,0,0,0,0,0
0.0035,0,0,0,0,0,0
0.004,0,0,0,0,0,0
0.0045,0,0,0,0,0,0
0.005,0,0,0,0,0,0
0.0055,0,0,0,0,0,0
0.006,0,0,0,0,0,0
0.0065,0,0,0,0,0,0
0.007,0,0,0,0,0,0
0.0075,0,0,0,0,0,0
0.008,0,0,0,0,0,0
0.0085,0,0,0,0,0,0
0.009,0,0,0,0,0,0
0.0095,0,0,0,0,0,0
0.01,0,0,0,0,0,0
0.0105,0,0,0,0,0,0
0.011,0,0,0,0,0,0
0.0115,0,0,0,0,0,0
0.012,0,0,0,0,0,0
0.0125,0,0,0,0,0,0
0.013,0,0,0,0,0,0
0.0135,0,0,0,0,0,0
0.014,0,0,0,0,0,0
0.0145,0,0,0,0,0,0
0.015,0,0,0,0,0,0
0.0155,0,0,0,0,0,0
0.016,0,0,0,0,0,0
0.0165,0,0,0,0,0,0
0.017,0,0,0,0,0,0
0.0175,0,0,0,0,0,0
0.018,0,0,0,0,0,0
0.0185,0,0,0,0,0,0
0.019,0,0,0,0,0,0
0.0195,0,0,0,0,0,0
0.02,0,0,0,0,0,0
0.0205,0,0,0,0,0,0
0.021,0,0,0,0,0,0
0.0215,0,0,0,0,0,0
0.022,0,0,0,0,0,0
0.0225,0,0,0,0,0,0
0.023,0,0,0,0,0,0
0.0235,0,0,0,0,0,0
0.024,0,0,0,0,0,0
0.0245,0,0,0,0,0,0
0.025,0,0,0,0,0,0
0.0255,0,0,0,0,0,0
0.026,0,0,0,0,0,0
0.0265,0,0,0,0,0,0
0.027,0,0,0,0,0,0
0.0275,0,0,0,0,0,0
0.028,0,0,0,0,0,0
0.0285,0,0,0,0,0,0
0.029,0,0,0,0,0,0
0.0295,0,0,0,0,0,0
0.03,0,0,0,0,0,0
0.0305,0,0,0,0,0,0
0.031,0,0,0,0,0,0
0.0315,0,0,0,0,0,0
0.032,0,0,0,0,0,0
0.0325,0,0,0,0,0,0
0.033,0,0,0,0,0,0
0.0335,0,0,0,0,0,0
0.034,0,0,0,0,0,0
0.0345,0,0,0,0,0,0
0.035,0,0,0,0,0,0
0.0355,0,0,0,0,0,0
0.036,0,0,0,0,0,0
0.0365,0,0,0,0,0,0
0.037,0,0,0,0,0,0
0.0375,0,0,0,0,0,0
0.038,0,0,0,0,0,0
0.0385,0,0,0,0,0,0
0.039,0,0,0,0,0,0
0.0395,0,0,0,0,0,0
0.04,0,0,0,0,0,0
0.0405,0,0,0,0,0,0
0.041,0,0,0,0,0,0
0.0415,0,0,0,0,0,0
0.042,0,0,0,0,0,0
0.0425,0,0,0,0,0,0
0.043,0,0,0,0,0,0
0.0435,0,0,0,0,0,0
0.044,0,0,0,0,0,0
0.0445,0,0,0,0,0,0
0.045,0,0,0,0,0,0
0.0455,0,0,0,0,0,0
0.046,0,0,0,0,0,0
0.0465,0,0,0,0,0,0
0.047,0,0,0,0,0,0
0.0475,0,0,0,0,0,0
0.048,0,0,0,0,0,0
0.0485,0,0,0,0,0,0
0.049,0,0,0,0,0,0
0.0495,0,0,0,0,0,0
0.05,0,0,0,0,0,0
0.0505,0,0,0,0,0,0
0.051,0,0,0,0,0,0
0.0515,0,0,0,0,0,0
0.052,0,0,0,0,0,0
0.0525,0,0,0,0,0,0
0.053,0,0,0,0,0,0
0.0535,0,0,0,0,0,0
0.054,0,0,0,0,0,0
0.0545,0,0,0,0,0,0
0.055,0,0,0,0,0,0
0.0555,0,0,0,0,0,0
0.056,0,0,0,0,0,0
0.0565,0,0,0,0,0,0
0.057,0,0,0,0,0,0
0.0575,0,0,0,0,0,0
0.058,0,0,0,0,0,0
0.0585,0,0,0,0,0,0
0.059,0,0,0,0,0,0
0.0595,0,0,0,0,0,0
0.06,0,0,0,0,0,0
0.0605,0,0,0,0,0,0
0.061,0,0,0,0,0,0
0.0615,0,0,0,0,0,0
0.062,0,0,0,0,0,0
0.0625,0,0,0,0,0,0
0.063,0,0,0,0,0,0
0.0635,0,0,0,0,0,0
0.064,0,0,0,0,0,0
0.0645,0,0,0,0,0,0
0.065,0,0,0,0,0,0
0.0655,0,0,0,0,0,0
0.066,0,0,0,0,0,0
0.0665,0,0,0,0,0,0
0.067,0,0,0,0,0,0
0.0675,0,0,0,0,0,0
0.068,0,0,0,0,0,0
0.0685,0,0,0,0,0,0
0.069,0,0,0,0,0,0
0.0695,0,0,0,0,0,0
0.07,0,0,0,0,0,0
0.0705,0,0,0,0,0,0
0.071,0,0,0,0,0,0
0.0715,0,0,0,0,0,0
0.072,0,0,0,0,0,0
0.0725,0,0,0,0,0,0
0.073,0,0,0,0,0,0
0.0735,0,0,0,0,0,0
0.074,0,0,0,0,0,0
0.0745,0,0,0,0,0,0
0.075,0,0,0,0,0,0
0.0755,0,0,0,0,0,0
0.076,0,0,0,0,0,0
0.0765,0,0,0,0,0,0
0.077,0,0,0,0,0,0
0.0775,0,0,0,0,0,0
0.078,0,0,0,0,0,0
0.0785,0,0,0,0,0,0
0.079,0,0,0,0,0,0
0.0795,0,0,0,0,0,0
0.08,0,0,0,0,0,0
0.0805,0,0,0,0,0,0
0.081,0,0,0,0,0,0
0.0815,0,0,0,0,0,0
0.082,0,0,0,0,0,0
0.0825,0,0,0,0,0,0
0.083,0,0,0,0,0,0
0.0835,0,0,0,0,0,0
0.084,0,0,0,0,0,0
0.0845,0,0,0,0,0,0
0.085,0,0,0,0,0,0
0.0855,0,0,0,0,0,0
0.086,0,0,0,0,0,0
0.0865,0,0,0,0,0,0
0.087,0,0,0,0,0,0
0.0875,0,0,0,0,0,0
0.088,0,0,0,0,0,0
0.0885,0,0,0,0,0,0
0.089,0,0,0,0,0,0
0.0895,0,0,0,0,0,0
0.09,0,0,0,0,0,0
0.0905,0,0,0,0,0,0
0.091,0,0,0,0,0,0
0.0915,0,0,0,0,0,0
0.092,0,0,0,0,0,0
0.0925,0,0,0,0,0,0
0.093,0,0,0,0,0,0
0.0935,0,0,0,0,0,0
0.094,0,0,0,0,0,0
0.0945,0,0,0,0,0,0
0.095,0,0,0,0,0,0
0.0955,0,0,0,0,0,0
0.096,0,0,0,0,0,0
0.0965,0,0,0,0,0,0
0.097,0,0,0,0,0,0
0.0975,0,0,0,0,0,0
0.098,0,0,0,0,0,0
0.0985,0,0,0,0,0,0
0.099,0,0,0,0,0,0
0.0995,0,0,0,0,0,0
0.1,0,1.457280342e-12,6.92803e-14,0,8.128276141e-06,1.62584e-06
0.1,0,1.457280342e-12,6.92803e-14,0,8.128276141e-06,1.62584e-06
0.1005,6.250010872e-07,1.252454431e-06,2.98297e-08,0.00249999974,0.00500490352,0.000501036
0.101,2.500000455e-06,5.00490362e-06,1.19085e-07,0.004999997918,0.01000489038,0.00100109
0.1015,5.624996699e-06,1.125734112e-05,2.67766e-07,0.007499992781,0.0150048551,0.00150114
0.102,9.999988272e-06,2.000975337e-05,4.75873e-07,0.009999983346,0.02000478768,0.00200118
0.1025,1.562496938e-05,3.126212178e-05,7.43403e-07,0.0124999679,0.02500467811,0.00250122
0.103,2.249992684e-05,4.501442278e-05,1.07036e-06,0.01499994225,0.0300045164,0.00300125
0.1035,3.06248674e-05,6.126662782e-05,1.45673e-06,0.01749990854,0.03500429255,0.00350127
0.104,3.999979107e-05,8.001870331e-05,1.90253e-06,0.01999986677,0.04000399656,0.00400127
0.1045,5.062469783e-05,0.0001012706102,2.40775e-06,0.02249981694,0.04500361841,0.00450126
0.105,6.249948818e-05,0.0001250222963,2.97239e-06,0.02499974322,0.05000314359,0.00500124
0.1055,7.562418133e-05,0.0001512737215,3.59644e-06,0.02749964868,0.05500255878,0.00550119
0.106,8.999880691e-05,0.0001800248276,4.27991e-06,0.02999953802,0.06000185394,0.00600113
0.1065,0.0001056233649,0.0002112755517,5.02279e-06,0.03249941124,0.06500101909,0.00650104
0.107,0.0001224978554,0.0002450258257,5.82508e-06,0.03499926834,0.0700000442,0.00700093
0.1075,0.0001406222783,0.0002812755768,6.68678e-06,0.03749910933,0.07499891927,0.00750079
0.108,0.0001599966336,0.0003200247269,7.60787e-06,0.0399989342,0.07999763429,0.00800063
0.1085,0.0001806209214,0.0003612731932,8.58836e-06,0.04249874295,0.08499617928,0.00850043
0.109,0.0002024951416,0.0004050208879,9.62824e-06,0.04499853559,0.08999454422,0.0090002
0.1095,0.0002256191256,0.0004512677182,1.07275e-05,0.0474982943,0.09499271914,0.00949994
0.11,0.0002499927926,0.0005000135863,1.18862e-05,0.04999801054,0.09999069402,0.00999965
0.1105,0.0002756163173,0.0005512583895,1.31043e-05,0.05249770278,0.1049884589,0.0104993
0.111,0.0003024896997,0.0006050020202,1.43817e-05,0.05499737101,0.1099860038,0.0109989
0.1115,0.0003306129399,0.0006612443656,1.57185e-05,0.05749701524,0.1149833186,0.0114985
0.112,0.0003599860379,0.0007199853082,1.71147e-05,0.05999663546,0.1199803936,0.0119981
0.1125,0.0003906089936,0.0007812247254,1.85702e-05,0.06249623168,0.1249772185,0.0124976
0.113,0.000422481807,0.0008449624896,2.00851e-05,0.06499580389,0.1299737836,0.012997
0.1135,0.0004556044782,0.0009111984685,2.16593e-05,0.06749535209,0.1349700788,0.0134964
0.114,0.00048997688,0.0009799325245,2.32929e-05,0.06999486609,0.1399660941,0.0139958
0.1145,0.0005255985348,0.001051164515,2.49858e-05,0.07249430756,0.1449618196,0.0144951
